timestamp,close
2026-04-25 15:00:00,77663.58
2026-04-25 15:05:00,77663.59
2026-04-25 15:10:00,77670.39
2026-04-25 15:15:00,77683.14
2026-04-25 15:20:00,77702.62
2026-04-25 15:25:00,77700.09
2026-04-25 15:30:00,77709.6
2026-04-25 15:35:00,77700.01
2026-04-25 15:40:00,77670
2026-04-25 15:45:00,77505.44
2026-04-25 15:50:00,77332.07
2026-04-25 15:55:00,77330.26
2026-04-25 16:00:00,77404.63
2026-04-25 16:05:00,77408.71
2026-04-25 16:10:00,77451.56
2026-04-25 16:15:00,77419.82
2026-04-25 16:20:00,77421
2026-04-25 16:25:00,77394.82
2026-04-25 16:30:00,77378.68
2026-04-25 16:35:00,77264
2026-04-25 16:40:00,77368.27
2026-04-25 16:45:00,77393.93
2026-04-25 16:50:00,77393.86
2026-04-25 16:55:00,77397.27
2026-04-25 17:00:00,77381.72
2026-04-25 17:05:00,77363.25
2026-04-25 17:10:00,77355.47
2026-04-25 17:15:00,77326.57
2026-04-25 17:20:00,77373.88
2026-04-25 17:25:00,77324.87
2026-04-25 17:30:00,77282.49
2026-04-25 17:35:00,77328.6
2026-04-25 17:40:00,77306.96
2026-04-25 17:45:00,77254.1
2026-04-25 17:50:00,77231.59
2026-04-25 17:55:00,77245.77
2026-04-25 18:00:00,77295.97
2026-04-25 18:05:00,77282.64
2026-04-25 18:10:00,77280.35
2026-04-25 18:15:00,77284.97
2026-04-25 18:20:00,77286.51
2026-04-25 18:25:00,77326.42
2026-04-25 18:30:00,77359.47
2026-04-25 18:35:00,77350.19
2026-04-25 18:40:00,77311.67
2026-04-25 18:45:00,77313.85
2026-04-25 18:50:00,77308.73
2026-04-25 18:55:00,77313
2026-04-25 19:00:00,77313.01
2026-04-25 19:05:00,77300
2026-04-25 19:10:00,77330.06
2026-04-25 19:15:00,77336.16
2026-04-25 19:20:00,77339
2026-04-25 19:25:00,77255.7
2026-04-25 19:30:00,77234.81
2026-04-25 19:35:00,77223.17
2026-04-25 19:40:00,77193.8
2026-04-25 19:45:00,77240.54
2026-04-25 19:50:00,77285.33
2026-04-25 19:55:00,77330.01
2026-04-25 20:00:00,77316.32
2026-04-25 20:05:00,77344
2026-04-25 20:10:00,77358
2026-04-25 20:15:00,77380.49
2026-04-25 20:20:00,77418.63
2026-04-25 20:25:00,77415.99
2026-04-25 20:30:00,77407.52
2026-04-25 20:35:00,77399.78
2026-04-25 20:40:00,77400.2
2026-04-25 20:45:00,77411.03
2026-04-25 20:50:00,77428.79
2026-04-25 20:55:00,77479.13
2026-04-25 21:00:00,77507.78
2026-04-25 21:05:00,77506.88
2026-04-25 21:10:00,77500.57
2026-04-25 21:15:00,77497.32
2026-04-25 21:20:00,77514.66
2026-04-25 21:25:00,77518.89
2026-04-25 21:30:00,77466.33
2026-04-25 21:35:00,77455.71
2026-04-25 21:40:00,77468.03
2026-04-25 21:45:00,77482.5
2026-04-25 21:50:00,77515.34
2026-04-25 21:55:00,77525.84
2026-04-25 22:00:00,77525.85
2026-04-25 22:05:00,77532.18
2026-04-25 22:10:00,77509.75
2026-04-25 22:15:00,77509.82
2026-04-25 22:20:00,77532.1
2026-04-25 22:25:00,77556.65
2026-04-25 22:30:00,77626.5
2026-04-25 22:35:00,77583.05
2026-04-25 22:40:00,77600
2026-04-25 22:45:00,77551.5
2026-04-25 22:50:00,77540
2026-04-25 22:55:00,77557.01
2026-04-25 23:00:00,77571.23
2026-04-25 23:05:00,77581.66
2026-04-25 23:10:00,77585.48
2026-04-25 23:15:00,77596.92
2026-04-25 23:20:00,77605.79
2026-04-25 23:25:00,77594.46
2026-04-25 23:30:00,77619.99
2026-04-25 23:35:00,77620.2
2026-04-25 23:40:00,77606.76
2026-04-25 23:45:00,77614.16
2026-04-25 23:50:00,77615.13
2026-04-25 23:55:00,77625
2026-04-26 00:00:00,77633.32
2026-04-26 00:05:00,77554.27
2026-04-26 00:10:00,77550.27
2026-04-26 00:15:00,77484.48
2026-04-26 00:20:00,77474.91
2026-04-26 00:25:00,77472.3
2026-04-26 00:30:00,77515.36
2026-04-26 00:35:00,77508.22
2026-04-26 00:40:00,77545.55
2026-04-26 00:45:00,77543.71
2026-04-26 00:50:00,77529.24
2026-04-26 00:55:00,77502.4
2026-04-26 01:00:00,77514.8
2026-04-26 01:05:00,77516.02
2026-04-26 01:10:00,77506.5
2026-04-26 01:15:00,77500
2026-04-26 01:20:00,77546.76
2026-04-26 01:25:00,77506.41
2026-04-26 01:30:00,77519.99
2026-04-26 01:35:00,77549.53
2026-04-26 01:40:00,77555
2026-04-26 01:45:00,77502.7
2026-04-26 01:50:00,77531.65
2026-04-26 01:55:00,77461.16
2026-04-26 02:00:00,77491.54
2026-04-26 02:05:00,77512.72
2026-04-26 02:10:00,77569.44
2026-04-26 02:15:00,77551.06
2026-04-26 02:20:00,77564
2026-04-26 02:25:00,77559.97
2026-04-26 02:30:00,77561
2026-04-26 02:35:00,77552.92
2026-04-26 02:40:00,77522.24
2026-04-26 02:45:00,77497.86
2026-04-26 02:50:00,77505.43
2026-04-26 02:55:00,77512.67
2026-04-26 03:00:00,77494.52
2026-04-26 03:05:00,77501.44
2026-04-26 03:10:00,77526.98
2026-04-26 03:15:00,77523.52
2026-04-26 03:20:00,77514.51
2026-04-26 03:25:00,77432.65
2026-04-26 03:30:00,77371.11
2026-04-26 03:35:00,77357.07
2026-04-26 03:40:00,77380
2026-04-26 03:45:00,77379.59
2026-04-26 03:50:00,77382.52
2026-04-26 03:55:00,77400.21
2026-04-26 04:00:00,77393.25
2026-04-26 04:05:00,77445.46
2026-04-26 04:10:00,77476.89
2026-04-26 04:15:00,77487.1
2026-04-26 04:20:00,77494.86
2026-04-26 04:25:00,77481.97
2026-04-26 04:30:00,77442.38
2026-04-26 04:35:00,77461.76
2026-04-26 04:40:00,77517.94
2026-04-26 04:45:00,77742.53
2026-04-26 04:50:00,77792.38
2026-04-26 04:55:00,77774.29
2026-04-26 05:00:00,77729.82
2026-04-26 05:05:00,77799.99
2026-04-26 05:10:00,78138.86
2026-04-26 05:15:00,78139.4
2026-04-26 05:20:00,78047.2
2026-04-26 05:25:00,78100.37
2026-04-26 05:30:00,78080.18
2026-04-26 05:35:00,78058
2026-04-26 05:40:00,78044
2026-04-26 05:45:00,78052
2026-04-26 05:50:00,78012.48
2026-04-26 05:55:00,77983.31
2026-04-26 06:00:00,78037.99
2026-04-26 06:05:00,78000.87
2026-04-26 06:10:00,78015.24
2026-04-26 06:15:00,77938.35
2026-04-26 06:20:00,77931.38
2026-04-26 06:25:00,77948.99
2026-04-26 06:30:00,77938.37
2026-04-26 06:35:00,77975.05
2026-04-26 06:40:00,78012.01
2026-04-26 06:45:00,77930.86
2026-04-26 06:50:00,77969.51
2026-04-26 06:55:00,77999.04
2026-04-26 07:00:00,78000.01
2026-04-26 07:05:00,77987.16
2026-04-26 07:10:00,78009.99
2026-04-26 07:15:00,77999.79
2026-04-26 07:20:00,78013.39
2026-04-26 07:25:00,77998.01
2026-04-26 07:30:00,77971.47
2026-04-26 07:35:00,77976.26
2026-04-26 07:40:00,77980.54
2026-04-26 07:45:00,77987.12
2026-04-26 07:50:00,78053.4
2026-04-26 07:55:00,78102.53
2026-04-26 08:00:00,78109.53
2026-04-26 08:05:00,78081.59
2026-04-26 08:10:00,78077.87
2026-04-26 08:15:00,78050.6
2026-04-26 08:20:00,78044.99
2026-04-26 08:25:00,78087.46
2026-04-26 08:30:00,78132
2026-04-26 08:35:00,78146.24
2026-04-26 08:40:00,78044
2026-04-26 08:45:00,78039
2026-04-26 08:50:00,78051.65
2026-04-26 08:55:00,78032.59
2026-04-26 09:00:00,78004.13
2026-04-26 09:05:00,77977.13
2026-04-26 09:10:00,78009.73
2026-04-26 09:15:00,77992.58
2026-04-26 09:20:00,78015.59
2026-04-26 09:25:00,78009.97
2026-04-26 09:30:00,77970.68
2026-04-26 09:35:00,77952.54
2026-04-26 09:40:00,77976.34
2026-04-26 09:45:00,77961.8
2026-04-26 09:50:00,77994.51
2026-04-26 09:55:00,77999.99
2026-04-26 10:00:00,77967.97
2026-04-26 10:05:00,78031.11
2026-04-26 10:10:00,78040.14
2026-04-26 10:15:00,78028.52
2026-04-26 10:20:00,78024.29
2026-04-26 10:25:00,78008.05
2026-04-26 10:30:00,78010.43
2026-04-26 10:35:00,78006.96
2026-04-26 10:40:00,77992.34
2026-04-26 10:45:00,77982.75
2026-04-26 10:50:00,77979.88
2026-04-26 10:55:00,78002.43
2026-04-26 11:00:00,78029.39
2026-04-26 11:05:00,78054.42
2026-04-26 11:10:00,78048.58
2026-04-26 11:15:00,78045.69
2026-04-26 11:20:00,78111.58
2026-04-26 11:25:00,78139.55
2026-04-26 11:30:00,78099.77
2026-04-26 11:35:00,78077.42
2026-04-26 11:40:00,78077.42
2026-04-26 11:45:00,78086
2026-04-26 11:50:00,78101.43
2026-04-26 11:55:00,78101.44
2026-04-26 12:00:00,78059.91
2026-04-26 12:05:00,78047.32
2026-04-26 12:10:00,77981.87
2026-04-26 12:15:00,77984.99
2026-04-26 12:20:00,78000.64
2026-04-26 12:25:00,77976.6
2026-04-26 12:30:00,77972.64
2026-04-26 12:35:00,77987.4
2026-04-26 12:40:00,77950
2026-04-26 12:45:00,77832.76
2026-04-26 12:50:00,77840.01
2026-04-26 12:55:00,77833.08
2026-04-26 13:00:00,77841.07
2026-04-26 13:05:00,77898.23
2026-04-26 13:10:00,77905.13
2026-04-26 13:15:00,77895.41
2026-04-26 13:20:00,77852.43
2026-04-26 13:25:00,77874.43
2026-04-26 13:30:00,77957.87
2026-04-26 13:35:00,77978.46
2026-04-26 13:40:00,77989.74
2026-04-26 13:45:00,77945.2
2026-04-26 13:50:00,77959.48
2026-04-26 13:55:00,77977.79
2026-04-26 14:00:00,77925.7
2026-04-26 14:05:00,77944.01
2026-04-26 14:10:00,77958.74
2026-04-26 14:15:00,78015.47
2026-04-26 14:20:00,78056.4
2026-04-26 14:25:00,78065.97
2026-04-26 14:30:00,78067
2026-04-26 14:35:00,78076.58
2026-04-26 14:40:00,78047.92
2026-04-26 14:45:00,78020.01
2026-04-26 14:50:00,78144.41
2026-04-26 14:55:00,78095.66
2026-04-26 15:00:00,78099.89
2026-04-26 15:05:00,78091.52
2026-04-26 15:10:00,78088.18
2026-04-26 15:15:00,78114.29
2026-04-26 15:20:00,78000
2026-04-26 15:25:00,78099.98
2026-04-26 15:30:00,78035.28
2026-04-26 15:35:00,78072.29
2026-04-26 15:40:00,78046.31
2026-04-26 15:45:00,78018.28
2026-04-26 15:50:00,78047.85
2026-04-26 15:55:00,78049
2026-04-26 16:00:00,78040.99
2026-04-26 16:05:00,78045.12
2026-04-26 16:10:00,78020.4
2026-04-26 16:15:00,78037.27
2026-04-26 16:20:00,78047.2
2026-04-26 16:25:00,78050.07
2026-04-26 16:30:00,78076.2
2026-04-26 16:35:00,78042.01
2026-04-26 16:40:00,78000.18
2026-04-26 16:45:00,78032.8
2026-04-26 16:50:00,78032.82
2026-04-26 16:55:00,77919.43
2026-04-26 17:00:00,77959.36
2026-04-26 17:05:00,77997.13
2026-04-26 17:10:00,78012.58
2026-04-26 17:15:00,78015.78
2026-04-26 17:20:00,78009.17
2026-04-26 17:25:00,78016.85
2026-04-26 17:30:00,77980.54
2026-04-26 17:35:00,77978.91
2026-04-26 17:40:00,78020.07
2026-04-26 17:45:00,78024.95
2026-04-26 17:50:00,78022.39
2026-04-26 17:55:00,78018.57
2026-04-26 18:00:00,78003.47
2026-04-26 18:05:00,78079.95
2026-04-26 18:10:00,78093.29
2026-04-26 18:15:00,78200.78
2026-04-26 18:20:00,78215.34
2026-04-26 18:25:00,78177.33
2026-04-26 18:30:00,78139.41
2026-04-26 18:35:00,78163.27
2026-04-26 18:40:00,78216.29
2026-04-26 18:45:00,78238.17
2026-04-26 18:50:00,78259
2026-04-26 18:55:00,78283.96
2026-04-26 19:00:00,78209.58
2026-04-26 19:05:00,78296.56
2026-04-26 19:10:00,78389.21
2026-04-26 19:15:00,78389.44
2026-04-26 19:20:00,78206.94
2026-04-26 19:25:00,78194.78
2026-04-26 19:30:00,78145.54
2026-04-26 19:35:00,78094.55
2026-04-26 19:40:00,78181.24
2026-04-26 19:45:00,78227.61
2026-04-26 19:50:00,78264.01
2026-04-26 19:55:00,78221.16
2026-04-26 20:00:00,78247.56
2026-04-26 20:05:00,78258.86
2026-04-26 20:10:00,78190
2026-04-26 20:15:00,78173.86
2026-04-26 20:20:00,78203.58
2026-04-26 20:25:00,78231.16
2026-04-26 20:30:00,78346.82
2026-04-26 20:35:00,78263.17
2026-04-26 20:40:00,78292.05
2026-04-26 20:45:00,78282.66
2026-04-26 20:50:00,78253.84
2026-04-26 20:55:00,78194.22
2026-04-26 21:00:00,78273.19
2026-04-26 21:05:00,78253.81
2026-04-26 21:10:00,78233.75
2026-04-26 21:15:00,78252.3
2026-04-26 21:20:00,78252.3
2026-04-26 21:25:00,78192.11
2026-04-26 21:30:00,78039.36
2026-04-26 21:35:00,78041.69
2026-04-26 21:40:00,77989.34
2026-04-26 21:45:00,77952.13
2026-04-26 21:50:00,78534.97
2026-04-26 21:55:00,78417.41
2026-04-26 22:00:00,78402.97
2026-04-26 22:05:00,78536.24
2026-04-26 22:10:00,78569.52
2026-04-26 22:15:00,78741.37
2026-04-26 22:20:00,78666.45
2026-04-26 22:25:00,78524.36
2026-04-26 22:30:00,78055.72
2026-04-26 22:35:00,78170.66
2026-04-26 22:40:00,78281.52
2026-04-26 22:45:00,78404.89
2026-04-26 22:50:00,78360.85
2026-04-26 22:55:00,78313.52
2026-04-26 23:00:00,78322.58
2026-04-26 23:05:00,78318.62
2026-04-26 23:10:00,78360.83
2026-04-26 23:15:00,78287.23
2026-04-26 23:20:00,78394.31
2026-04-26 23:25:00,78154.16
2026-04-26 23:30:00,78347.38
2026-04-26 23:35:00,78449.49
2026-04-26 23:40:00,78608.09
2026-04-26 23:45:00,78764.63
2026-04-26 23:50:00,78658.42
2026-04-26 23:55:00,78657.55
2026-04-27 00:00:00,78803.12
2026-04-27 00:05:00,78717.23
2026-04-27 00:10:00,78582.59
2026-04-27 00:15:00,78615.64
2026-04-27 00:20:00,78550.04
2026-04-27 00:25:00,78485.44
2026-04-27 00:30:00,78491.2
2026-04-27 00:35:00,78672.72
2026-04-27 00:40:00,78813.85
2026-04-27 00:45:00,78816.68
2026-04-27 00:50:00,78962.66
2026-04-27 00:55:00,79308.6
2026-04-27 01:00:00,79360.31
2026-04-27 01:05:00,79133.93
2026-04-27 01:10:00,79127.83
2026-04-27 01:15:00,79014.95
2026-04-27 01:20:00,79027.33
2026-04-27 01:25:00,78908.39
2026-04-27 01:30:00,78864.7
2026-04-27 01:35:00,79062.32
2026-04-27 01:40:00,79051.26
2026-04-27 01:45:00,79330.12
2026-04-27 01:50:00,79230
2026-04-27 01:55:00,79283.66
2026-04-27 02:00:00,79196.41
2026-04-27 02:05:00,79140.93
2026-04-27 02:10:00,79184
2026-04-27 02:15:00,79173.03
2026-04-27 02:20:00,79101
2026-04-27 02:25:00,79123.48
2026-04-27 02:30:00,79076.18
2026-04-27 02:35:00,79071.22
2026-04-27 02:40:00,79070.13
2026-04-27 02:45:00,79094.64
2026-04-27 02:50:00,79198.65
2026-04-27 02:55:00,79130.01
2026-04-27 03:00:00,79145.21
2026-04-27 03:05:00,79198.99
2026-04-27 03:10:00,79209.04
2026-04-27 03:15:00,79240.15
2026-04-27 03:20:00,79249.24
2026-04-27 03:25:00,79246.9
2026-04-27 03:30:00,79247.5
2026-04-27 03:35:00,79200
2026-04-27 03:40:00,79237.1
2026-04-27 03:45:00,79212
2026-04-27 03:50:00,79150
2026-04-27 03:55:00,79105.49
2026-04-27 04:00:00,79124.96
2026-04-27 04:05:00,79089.26
2026-04-27 04:10:00,79057.82
2026-04-27 04:15:00,79039.42
2026-04-27 04:20:00,79055.65
2026-04-27 04:25:00,79118.22
2026-04-27 04:30:00,79028.6
2026-04-27 04:35:00,79100
2026-04-27 04:40:00,79072.73
2026-04-27 04:45:00,78986.74
2026-04-27 04:50:00,78994.12
2026-04-27 04:55:00,78924.22
2026-04-27 05:00:00,78766.67
2026-04-27 05:05:00,78722.43
2026-04-27 05:10:00,78406.39
2026-04-27 05:15:00,78024.64
2026-04-27 05:20:00,77985.57
2026-04-27 05:25:00,77835.63
2026-04-27 05:30:00,77868.78
2026-04-27 05:35:00,77744.43
2026-04-27 05:40:00,77804.13
2026-04-27 05:45:00,77789.08
2026-04-27 05:50:00,77817.93
2026-04-27 05:55:00,77785.54
2026-04-27 06:00:00,77749.45
2026-04-27 06:05:00,77779.2
2026-04-27 06:10:00,77737.47
2026-04-27 06:15:00,77853.99
2026-04-27 06:20:00,77843.85
2026-04-27 06:25:00,77725.14
2026-04-27 06:30:00,77611.85
2026-04-27 06:35:00,77596.18
2026-04-27 06:40:00,77618.1
2026-04-27 06:45:00,77711.02
2026-04-27 06:50:00,77718.3
2026-04-27 06:55:00,77700.12
2026-04-27 07:00:00,77671.31
2026-04-27 07:05:00,77609.38
2026-04-27 07:10:00,77647.68
2026-04-27 07:15:00,77686.36
2026-04-27 07:20:00,77699.24
2026-04-27 07:25:00,77690.95
2026-04-27 07:30:00,77611.21
2026-04-27 07:35:00,77652.42
2026-04-27 07:40:00,77679.41
2026-04-27 07:45:00,77689
2026-04-27 07:50:00,77685.07
2026-04-27 07:55:00,77606.6
2026-04-27 08:00:00,77702.91
2026-04-27 08:05:00,77620
2026-04-27 08:10:00,77632.09
2026-04-27 08:15:00,77660.32
2026-04-27 08:20:00,77658.08
2026-04-27 08:25:00,77572.38
2026-04-27 08:30:00,77611.09
